input_file,angle_deg,trial,stat,channel,sample_index,rssi
deg-0-1_stat-3_rssi.txt,0,1,3,a,161,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,161,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,162,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,162,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,163,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,163,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,164,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,164,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,165,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,165,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,166,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,166,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,167,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,167,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,168,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,168,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,169,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,169,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,170,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,170,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,171,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,171,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,172,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,172,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,173,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,173,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,174,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,174,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,175,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,175,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,176,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,176,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,177,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,177,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,178,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,178,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,179,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,179,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,180,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,180,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,181,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,181,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,182,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,182,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,183,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,183,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,184,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,184,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,185,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,185,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,186,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,186,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,187,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,187,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,188,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,188,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,189,51.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,189,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,190,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,190,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,191,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,191,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,192,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,192,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,193,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,193,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,194,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,194,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,195,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,195,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,196,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,196,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,197,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,197,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,198,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,198,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,199,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,199,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,200,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,200,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,201,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,201,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,202,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,202,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,203,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,203,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,204,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,204,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,205,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,205,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,206,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,206,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,207,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,207,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,208,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,208,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,209,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,209,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,210,52.0
