azimuth,elevation,response
1,-50,-5.379377647805736
1,-49,-5.299503634738046
1,-48,-5.0916262077944054
1,-47,-4.7037097873273614
1,-46,-4.214129391541817
1,-45,-3.6550419323692718
1,-44,-3.058604321741225
1,-43,-2.4569734715891745
1,-42,-1.882306293844619
1,-41,-1.3667597004390575
1,-40,-0.9288957550194277
1,-39,-0.5686495965526623
1,-38,-0.28087136826465814
1,-37,-0.04828978348764881
1,-36,0.139138135292188
1,-35,0.2856074913573576
1,-34,0.3953133879903648
1,-33,0.4724509284737151
1,-32,0.5212152160899136
1,-31,0.5458013541214656
1,-30,0.5489369870441116
1,-29,0.5466749951912072
1,-28,0.5813929867616008
1,-27,0.6273387594314545
1,-26,0.7189642289513689
1,-25,0.8771797038548554
1,-24,1.1228954926754255
1,-23,1.4770219039465904
1,-22,1.9604692462018614
1,-21,2.59414782797475
1,-20,3.4048059518430147
1,-19,4.4646230117678325
1,-18,5.63021892662658
1,-17,6.889591427867885
1,-16,8.156825385133915
1,-15,9.37991848313142
1,-14,10.506868406567147
1,-13,11.48567284014785
1,-12,12.264329468580277
1,-11,12.790835976571174
1,-10,13.018080334857643
1,-9,12.88437427475319
1,-8,12.434860377116852
1,-7,11.756572796800894
1,-6,10.913202070852927
1,-5,9.968438736320556
1,-4,8.985973330251396
1,-3,8.029496389693051
1,-2,7.162698451693135
1,-1,6.482787746435259
1,0,6.077160715582779
1,1,5.7128316744440735
1,2,5.672755489730157
1,3,5.865664620509166
1,4,6.188608085000152
1,5,6.58613641143951
1,6,7.002800128063629
1,7,7.383149763108899
1,8,7.671735844811715
1,9,7.813108901408469
1,10,7.73725198835272
1,11,7.43375004472777
1,12,7.0302784911671585
1,13,6.494392626054222
1,14,5.8083227484439055
1,15,4.976226148638567
1,16,4.002260116940568
1,17,2.89058194365227
1,18,1.645348919076033
1,19,0.27071833351421837
1,20,-1.1962316761874663
1,21,-2.785880229287941
1,22,-4.42390080322391
1,23,-6.138324486607932
1,24,-7.856485446473567
1,25,-9.522464587557824
1,26,-11.080342814597717
1,27,-12.47420103233025
1,28,-13.648120145492435
1,29,-14.546181058821281
1,30,-15.029392690668029
1,31,-14.948082524554609
1,32,-14.414187592088075
1,33,-13.54825734172215
1,34,-12.44126247721701
1,35,-11.184173702332835
1,36,-9.867961720829799
1,37,-8.583597236468082
1,38,-7.42205095300786
1,39,-6.585711200792214
1,40,-6.0786064504135195
1,41,-5.98645346328741
1,42,-6.23038710556489
1,43,-6.726108818606766
1,44,-7.40847935791804
1,45,-8.212359479003707
1,46,-9.072609937368764
1,47,-9.924091488518208
1,48,-10.701664887957033
1,49,-11.296103219424564
1,50,-11.730190091337969
1,51,-12.226267672317812
1,52,-12.52245395374892
1,53,-12.618602223460714
1,54,-12.562761660217692
1,55,-12.368869401123364
1,56,-12.050862583281255
1,57,-11.622678343794865
1,58,-11.098253819767724
1,59,-10.49152614830333
1,60,-9.802199192734136
1,61,-9.056203688859046
1,62,-8.351156453996069
1,63,-7.587915683423586
1,64,-6.814807771888687
1,65,-6.060374202574479
1,66,-5.353156458664071
1,67,-4.721696023340577
1,68,-4.194534379787106
1,69,-3.800213011186765
1,70,-3.6007434643933425
1,71,-3.7088005872395127
1,72,-4.105363994839188
1,73,-4.716739441541576
1,74,-5.485026118794239
1,75,-6.352323218044733
1,76,-7.260729930740618
1,77,-8.152345448329454
1,78,-8.969268962258797
1,79,-9.577374942524285
1,80,-9.918908003973584
1,81,-10.246753944240211
1,82,-10.304226294869792
1,83,-10.184639041206687
1,84,-9.920213107938567
1,85,-9.531639736306502
1,86,-9.039610167551556
1,87,-8.4648156429148
1,88,-7.827947403637298
1,89,-7.149696690960117
1,90,-6.470614588912002
2,-90,-4.302374352707505
2,-89,-4.3814937050735505
2,-88,-4.532777315525289
2,-87,-4.703621752566345
2,-86,-4.866211506638398
2,-85,-5.017795015392289
2,-84,-5.155620716478862
2,-83,-5.303657146384821
2,-82,-5.51286896570385
2,-81,-5.832997957568617
2,-80,-6.00505459511374
2,-79,-5.815408413809438
2,-78,-5.586510954953247
2,-77,-5.50083611144243
2,-76,-5.441190725090962
2,-75,-5.368539847207014
2,-74,-5.262856910493651
2,-73,-5.11931643270368
2,-72,-4.9330929315899095
2,-71,-4.691718231883921
2,-70,-4.371274168950929
2,-69,-3.970151174256955
2,-68,-3.530331234654828
2,-67,-3.099495709480467
2,-66,-2.707282278247883
2,-65,-2.3700122880076386
2,-64,-2.104007085810297
2,-63,-1.9406357703937467
2,-62,-1.9310425395416804
2,-61,-2.0381260379664976
2,-60,-2.1991737767124264
2,-59,-2.4388740121681662
2,-58,-2.764727011128637
2,-57,-3.161365054804172
2,-56,-3.606548343327971
2,-55,-4.068204083925416
2,-54,-4.514259483821892
2,-53,-4.8850432863508555
2,-52,-5.090324859123165
2,-51,-5.236795983824519
2,-50,-5.335685321268396
2,-49,-5.21758322260337
