A	E	BP6c_1	BP6c_2	BP60_1	BP60_2	BP8c_1	BPc0_1	BPc0_2	BP6c_1_10	BP6c_2_10	BP60_1_10	BP60_2_10	BPc0_1_10	BPc0_2_10	BP6c_1_20	BP6c_2_20	BP60_1_20	BP60_2_20	BPc0_1_20	BPc0_2_20
100	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-64	-71	-61	-59	-72	-65
110	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-63	-72	-61	-59	-70	-66
120	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-65	-72	-60	-60	-70	-64
130	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-65	-74	-62	-60	-67	-64
140	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-67	-73	-62	-60	-66	-63
150	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-67	-70	-61	-60	-66	-63
160	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-65	-70	-62	-60	-69	-65
170	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-65	-74	-62	-60	-71	-64
180	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-65	-72	-62	-61	-71	-65
190	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-69	-75	-61	-62	-68	-65
200	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-69	-79	-62	-62	-70	-65
210	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-70	-77	-64	-65	-70	-64
220	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-76	-74	-65	-65	-69	-65
230	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-72	-76	-66	-69	-69	-67
240	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-70	-72	-67	-71	-71	-71
250	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-77	-70	-66	-71	-74	-73
260	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-83	-69	-71	-70	-72	-78
270	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-76	-69	-69	-72	-71	-74
280	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-84	-74	-74	-72	-74	-79
290	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-87	-73	-73	-76	-74	-75
300	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-76	-76	-71	-83	-72	-72
310	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-75	-74	-66	-77	-74	-79
320	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-72	-69	-77	-74	-70	-78
330	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-71	-66	-67	-70	-70	-77
340	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-70	-66	-68	-70	-70	-77
350	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-69	-68	-58	-61	-67	-74
360	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-69	-70	-54	-56	-68	-72
180	0	-92	-92	-92	-61	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
180	-30	-92	-92	-62	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
180	-60	-92	-92	-92	-92	-92	-92	-64	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
180	-90	-92	-92	-92	-92	-92	-64	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
180	30	-63	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
180	60	-92	-61	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
180	90	-92	-92	-92	-92	-63	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
180	10	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-61	-92	-92	-92	-92	-92	-92	-92	-92
180	-20	-92	-92	-92	-92	-92	-92	-92	-92	-92	-62	-92	-92	-92	-92	-92	-92	-92	-92	-92
180	-50	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-64	-92	-92	-92	-92	-92	-92
180	-80	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-64	-92	-92	-92	-92	-92	-92	-92
180	40	-92	-92	-92	-92	-92	-92	-92	-63	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
180	70	-92	-92	-92	-92	-92	-92	-92	-92	-61	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
180	20	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-61	-92	-92
180	-10	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-62	-92	-92	-92
180	-40	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-64
180	-70	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-64	-92
180	50	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-63	-92	-92	-92	-92	-92
180	80	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-61	-92	-92	-92	-92
